timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1616245475.417,1,23,1,30991,1519,36,33,39.61,16
1613525056.527,0,94,62,25703,6807,70,75,202.52,16
1630431552.129,0,10,6,2749,29761,40,39,41.31,16
1613525246.867,0,94,63,25703,6807,69,73,240.68,16
1613525277.594,0,94,62,25703,6807,69,73,243.28,16
1615549957.396,1,51,31,29143,3367,59,63,191.56,16
1615551399.335,1,84,52,29143,3367,58,64,189.05,16
1616243974.669,1,19,0,30991,1519,36,33,39.79,16
1622407042.297,0,79,42,28045,4465,61,63,150.58,16
1622407031.971,0,79,41,28045,4465,61,63,151.11,16
1622407607.396,0,79,42,28045,4465,62,64,147.51,16
1615551474.283,1,71,44,29143,3367,59,64,192.28,16
1630432233.421,0,10,6,2749,29761,40,38,40.82,16
1615548749.916,1,82,50,29145,3365,59,63,174.99,16
1616259118.025,1,25,1,30991,1519,36,33,42.98,16
1622408527.906,0,78,42,28045,4465,61,64,151.37,16
1630431637.647,0,0,0,2749,29761,40,38,102.47,16
1630432053.631,0,4,1,2749,29761,40,37,41.52,16
1622408240.76,0,79,43,28045,4465,62,64,153.86,16
1615551468.702,1,88,54,29143,3367,59,66,196.47,16
1613525102.611,0,94,62,25703,6807,69,74,238.58,16
1616245940.969,1,24,1,30991,1519,36,34,40.57,16
1615550383.712,1,87,53,29143,3367,58,64,191.36,16
1613525171.718,0,94,62,25703,6807,68,73,240.79,16
1630431376.982,0,0,0,2749,29761,39,37,40.56,16
1622407990.436,0,79,43,28045,4465,62,64,154.0,16
1613525244.319,0,94,63,25703,6807,69,73,252.96,16
1616234004.124,1,15,0,30991,1519,36,33,40.17,16
1622408650.031,0,78,41,28045,4465,62,64,152.02,16
1630431920.052,0,10,6,2749,29761,40,38,62.0,16
1622407514.492,0,78,41,28045,4465,61,64,141.59,16
1613525334.082,0,95,65,25703,6807,68,72,218.55,16
1616241438.355,1,20,0,30991,1519,36,33,39.99,16
1615550974.938,1,87,54,29143,3367,59,65,181.83,16
1616254054.472,1,21,1,30991,1519,36,33,39.89,16
1622407937.386,0,80,43,28045,4465,62,64,151.41,16
1630432239.933,0,10,6,2749,29761,40,38,40.75,16
1630431451.559,0,10,6,2749,29761,40,37,43.79,16
1615548097.249,1,0,0,32510,0,36,34,43.05,16
1622407029.491,0,79,43,28045,4465,61,64,143.34,16
1613525244.525,0,94,62,25703,6807,69,73,220.29,16
1615550030.36,1,87,54,29143,3367,58,66,54.38,16
1622407531.111,0,79,42,28045,4465,62,64,156.25,16
1616256752.881,1,19,0,30991,1519,36,33,39.39,16
1615548334.799,1,89,54,29145,3365,60,67,177.34,16
1622407941.107,0,80,44,28045,4465,62,64,145.58,16
1616235953.231,1,14,0,30991,1519,35,32,39.5,16
1615548282.696,1,59,35,29145,3365,55,58,181.12,16
1630431681.117,0,10,6,2749,29761,40,38,40.91,16
1622407917.883,0,79,42,28045,4465,62,64,145.47,16
1615550904.621,1,73,45,29143,3367,58,64,166.27,16
1622408240.655,0,78,43,28045,4465,62,64,157.01,16
1622407843.251,0,79,42,28045,4465,62,64,154.1,16
1615548616.935,1,88,54,29145,3365,60,67,192.81,16
1622407108.785,0,79,44,28045,4465,61,63,151.56,16
1630432108.207,0,10,6,2749,29761,40,38,40.94,16
1622406909.539,0,79,43,28295,4215,59,62,149.07,16
1630431658.455,0,7,5,2749,29761,40,38,41.11,16
1615549863.157,1,90,55,29143,3367,58,64,188.23,16
1616249258.52,1,20,1,30991,1519,36,34,40.19,16
1613525317.328,0,93,63,25703,6807,68,73,191.05,16
1616252585.352,1,14,0,30991,1519,36,33,39.11,16
1613525153.405,0,94,64,25703,6807,69,73,222.38,16
1613525198.993,0,94,63,25703,6807,68,73,227.82,16
1613525145.16,0,94,63,25703,6807,69,72,221.32,16
1630431401.58,0,10,6,2749,29761,40,37,40.7,16
1613525342.289,0,94,62,25703,6807,69,73,196.77,16
1630431367.151,0,10,6,2749,29761,39,38,44.26,16
1630432180.423,0,1,1,2749,29761,40,38,40.86,16
1616246825.854,1,21,1,30991,1519,36,33,40.66,16
1630431937.042,0,10,6,2749,29761,40,39,41.58,16
1613525301.623,0,94,64,25703,6807,68,73,247.85,16
1613525307.865,0,94,64,25703,6807,68,73,222.16,16
1613525151.852,0,94,62,25703,6807,68,73,179.41,16
1616246618.296,1,12,0,30991,1519,36,34,39.28,16
1613525121.687,0,94,64,25703,6807,69,73,222.71,16
1630432077.726,0,10,6,2749,29761,40,38,41.26,16
1615548020.575,1,0,0,32510,0,36,34,42.94,16
1616261407.112,1,26,2,30991,1519,36,33,40.67,16
1613525057.351,0,93,63,25703,6807,70,75,243.88,16
1630432265.911,0,5,4,2749,29761,40,38,81.18,16
1616252915.333,1,20,1,30991,1519,36,33,39.41,16
1615550748.887,1,82,51,29143,3367,59,66,178.43,16
1615551239.291,1,90,55,29143,3367,58,64,186.31,16
1622408609.358,0,78,42,28045,4465,61,64,157.23,16
1613525110.71,0,94,62,25703,6807,69,74,199.41,16
1615550580.302,1,72,44,29143,3367,61,66,192.76,16
1622407568.886,0,80,43,28045,4465,62,64,150.9,16
1615548116.44,1,0,0,32510,0,36,34,43.0,16
1616245977.302,1,28,2,30991,1519,36,34,40.57,16
1616256295.165,1,19,0,30991,1519,36,33,39.11,16
1630431393.828,0,10,6,2749,29761,40,37,40.72,16
1616244605.552,1,20,0,30991,1519,36,34,39.42,16
1616237224.598,1,20,0,30991,1519,35,32,39.4,16
1615550696.259,1,89,55,29143,3367,59,66,90.07,16
1630431467.276,0,10,6,2749,29761,40,39,41.19,16
1630431656.061,0,10,6,2749,29761,40,38,40.93,16
1622406897.257,0,79,42,28295,4215,59,61,151.49,16
1616249235.505,1,19,0,30991,1519,36,34,39.71,16
1613525123.684,0,94,62,25703,6807,69,74,212.91,16
