timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1623663851.467,0,94,60,1489,31021,69,73,238.46,16
1627423534.084,0,0,0,13813,18697,32,32,36.59,16
1622892445.956,0,0,0,32510,0,36,34,43.4,16
1627399880.494,0,0,0,13813,18697,31,31,36.38,16
1627418622.0,0,0,0,13813,18697,32,32,36.42,16
1630919906.641,0,0,0,32510,0,26,25,24.5,16
1630918811.391,0,0,0,32510,0,26,25,24.73,16
1623666248.588,0,94,64,1489,31021,69,74,218.1,16
1621928798.954,0,44,20,1439,31071,45,45,79.38,16
1621920235.474,0,35,16,1439,31071,43,43,74.98,16
1621926372.33,0,45,21,1439,31071,44,44,88.2,16
1630916848.587,0,0,0,32510,0,26,25,24.71,16
1622892385.362,0,0,0,32510,0,36,34,43.43,16
1630919011.84,0,0,0,32510,0,27,25,24.81,16
1623674467.695,0,94,60,1489,31021,68,72,66.34,16
1621925977.132,0,44,20,1439,31071,44,44,87.57,16
1622892536.868,0,0,0,32510,0,36,34,43.5,16
1622892411.638,0,0,0,32510,0,36,34,43.43,16
1621924489.219,0,42,19,1439,31071,43,43,72.31,16
1630918333.249,0,0,0,32510,0,26,25,24.58,16
1627409320.565,0,0,0,13813,18697,32,32,36.51,16
1623666382.205,0,94,58,1489,31021,68,74,146.68,16
1630917694.737,0,0,0,32510,0,26,25,24.64,16
1627394350.476,0,0,0,13813,18697,32,32,36.4,16
1622892494.757,0,0,0,32510,0,36,34,43.4,16
1621926295.536,0,0,0,1439,31071,42,40,45.4,16
1627395965.157,0,0,0,13813,18697,32,32,36.5,16
1623663282.945,0,94,64,1489,31021,68,75,205.31,16
1621923214.94,0,36,16,1439,31071,43,42,64.18,16
1622892597.355,0,0,0,32506,4,36,34,43.4,16
1621924143.338,0,9,1,1439,31071,41,40,45.28,16
1627418088.37,0,0,0,13813,18697,31,31,36.21,16
1623668628.712,0,95,64,1489,31021,69,73,241.61,16
1630917336.977,0,0,0,32510,0,26,25,24.71,16
1623665761.751,0,94,58,1489,31021,69,74,221.17,16
1621925349.308,0,0,0,1439,31071,42,41,45.59,16
1622892329.877,0,0,0,32510,0,36,34,43.43,16
1622892481.402,0,0,0,32510,0,36,34,43.5,16
1630918988.039,0,0,0,32510,0,27,26,24.71,16
1621920847.435,0,40,18,1439,31071,43,43,84.28,16
1627422847.702,0,0,0,13813,18697,33,32,36.57,16
1630917141.975,0,0,0,32510,0,26,25,24.45,16
1621920147.346,0,0,0,1439,31071,41,39,45.41,16
1623665732.492,0,93,63,1489,31021,69,75,153.87,16
1630919871.218,0,0,0,32510,0,26,25,24.69,16
1621929723.634,0,0,0,1439,31071,41,39,45.18,16
1623666852.574,0,94,61,1489,31021,69,73,229.21,16
1630920851.071,0,0,0,32510,0,26,25,24.65,16
1622892307.668,0,0,0,32510,0,36,34,43.45,16
1621921746.081,0,37,18,1439,31071,43,43,67.46,16
1630915511.562,0,0,0,32510,0,27,25,24.71,16
1621924061.707,0,7,1,1439,31071,42,40,45.3,16
1621926819.263,0,0,0,1439,31071,42,40,45.43,16
1630917996.412,0,0,0,32510,0,26,25,24.77,16
1621925287.927,0,44,20,1439,31071,44,43,82.68,16
1622892537.183,0,0,0,32510,0,36,34,43.41,16
1621922731.703,0,9,1,1439,31071,42,40,45.51,16
1622892339.156,0,0,0,32510,0,36,34,43.38,16
1630917821.253,0,0,0,32510,0,26,25,24.78,16
1623664220.084,0,95,60,1489,31021,68,73,241.11,16
1627387775.598,0,0,0,13813,18697,31,31,36.41,16
1623672652.217,0,94,57,1489,31021,69,74,224.17,16
1627411358.345,0,0,0,13813,18697,31,31,36.27,16
1627413986.897,0,0,0,13813,18697,31,31,36.25,16
1627409075.487,0,0,0,13813,18697,32,32,36.63,16
1622892435.645,0,0,0,32510,0,36,34,43.36,16
1627403926.046,0,0,0,13813,18697,32,31,36.52,16
1622892532.069,0,0,0,32510,0,36,34,43.41,16
1622892393.493,0,0,0,32510,0,36,34,43.41,16
1623672557.901,0,94,59,1489,31021,69,74,235.99,16
1622892429.067,0,0,0,32510,0,36,34,43.41,16
1627407540.336,0,0,0,13813,18697,32,32,36.4,16
1627387843.68,0,0,0,13813,18697,31,31,36.33,16
1627399962.14,0,0,0,13813,18697,31,31,36.25,16
1623671073.733,0,87,53,1489,31021,69,73,200.4,16
1627395900.682,0,0,0,13813,18697,32,32,36.41,16
1622892573.375,0,0,0,32506,4,36,34,43.41,16
1630918598.598,0,0,0,32510,0,26,25,24.5,16
1623665788.445,0,93,59,1489,31021,68,73,213.04,16
1627392167.436,0,0,0,13813,18697,32,32,36.6,16
1622892413.208,0,0,0,32510,0,36,34,43.42,16
1623666506.907,0,94,60,1489,31021,69,74,218.66,16
1630921392.74,0,0,0,32510,0,26,25,24.41,16
1630920287.116,0,0,0,32510,0,26,25,24.58,16
1621921323.24,0,42,19,1439,31071,43,43,80.31,16
1627386847.186,0,0,0,13813,18697,31,31,36.43,16
1630917063.204,0,0,0,32510,0,26,25,24.7,16
1621928831.559,0,0,0,1439,31071,44,42,45.93,16
1630915592.116,0,0,0,32510,0,27,26,24.64,16
1623664759.02,0,95,58,1489,31021,68,73,196.59,16
1623671500.237,0,86,53,1489,31021,69,72,237.65,16
1622892313.613,0,0,0,32510,0,37,34,43.42,16
1623664148.044,0,93,61,1489,31021,68,73,231.62,16
1623671887.125,0,94,60,1489,31021,69,75,208.44,16
1630915981.736,0,0,0,32510,0,27,26,24.84,16
1622892511.953,0,0,0,32510,0,36,34,43.45,16
1622892322.059,0,0,0,32510,0,36,34,43.44,16
1621923321.371,0,35,16,1439,31071,43,42,72.48,16
1623663050.71,0,95,61,1489,31021,68,73,246.38,16
1627412073.056,0,0,0,13813,18697,31,31,36.22,16
