timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W,power_draw_W_1
1629865394.484,1,17,0,23456,9054,35,35,44.26,16,,,,,
1622108037.14,0,0,0,32510,0,36,35,26.88,16,,,,,
1628483758.837,0,12,3,12827,19683,37,37,51.91,16,,,,,
1622110245.177,0,0,0,32510,0,37,36,27.04,16,,,,,
1622111098.738,1,0,0,32510,0,37,35,26.91,16,,,,,
1631816697.528,1,0,0,1499,31011,38,37,41.62,16,1230.0,877.0,1102.0,250.0,41.62
1631816845.522,0,100,49,967,31543,56,54,223.57,16,1372.0,877.0,1237.0,250.0,223.57
1629857746.759,1,0,0,25046,7464,33,33,194.33,16,,,,,
1615974114.209,0,99,52,205,32305,69,72,213.23,16,,,,,
1615946970.961,0,89,53,205,32305,65,69,159.33,16,,,,,
1615987177.87,0,99,57,205,32305,69,72,176.88,16,,,,,
1631816743.878,1,98,5,959,31551,47,45,222.46,16,1327.0,877.0,1200.0,250.0,222.46
1628499264.08,0,40,1,12827,19683,35,34,144.06,16,,,,,
1631816963.133,1,100,1,957,31553,46,45,53.28,16,1380.0,877.0,1237.0,250.0,53.28
1629878948.586,0,0,0,32506,4,30,29,25.75,16,,,,,
1615972006.894,0,99,58,205,32305,69,72,209.63,16,,,,,
1628489057.063,0,100,80,12827,19683,36,40,44.59,16,,,,,
1628483627.072,0,95,53,12827,19683,40,42,198.73,16,,,,,
1615949079.336,0,91,50,205,32305,68,72,216.3,16,,,,,
1631817029.814,0,100,1,967,31543,53,50,52.97,16,1380.0,877.0,1237.0,250.0,52.97
1622113246.613,0,0,0,32510,0,37,36,26.89,16,,,,,
1629864839.405,0,0,0,32506,4,30,30,25.77,16,,,,,
1631816905.263,0,100,1,967,31543,53,50,52.29,16,1380.0,877.0,1237.0,250.0,52.29
1622108132.76,1,0,0,32510,0,37,34,26.72,16,,,,,
1628496513.415,0,13,3,12827,19683,38,37,50.53,16,,,,,
1615949745.143,0,100,57,205,32305,69,72,193.98,16,,,,,
1622117261.556,1,0,0,32510,0,39,36,27.36,16,,,,,
1629871378.412,1,100,55,24244,8266,35,38,175.02,16,,,,,
1615961633.496,0,99,54,205,32305,69,72,208.23,16,,,,,
1628486848.018,0,0,0,12827,19683,28,26,36.32,16,,,,,
1615987261.194,0,99,50,205,32305,69,71,198.05,16,,,,,
1622114519.059,1,0,0,32510,0,38,36,27.11,16,,,,,
1629865371.995,0,0,0,32506,4,31,30,25.85,16,,,,,
1631816866.698,1,100,1,957,31553,46,45,52.12,16,1380.0,877.0,1237.0,250.0,52.12
1629879595.361,1,100,58,24248,8262,41,45,168.34,16,,,,,
1615956041.23,0,99,51,205,32305,69,72,202.12,16,,,,,
1628509850.006,0,52,15,12827,19683,36,37,203.8,16,,,,,
1628502721.434,0,10,3,12827,19683,41,40,51.66,16,,,,,
1631816971.883,0,100,28,967,31543,55,55,53.6,16,1372.0,877.0,1237.0,250.0,53.6
1615963107.686,0,100,58,205,32305,69,73,189.7,16,,,,,
1622106761.848,1,0,0,31487,1023,40,37,39.12,16,,,,,
1631817032.291,1,89,1,957,31553,47,46,52.03,16,1380.0,877.0,1237.0,250.0,52.03
1615985833.213,0,100,55,205,32305,69,72,198.62,16,,,,,
1629872784.81,1,3,0,26412,6098,29,29,36.06,16,,,,,
1631817021.837,1,98,27,957,31553,51,49,226.56,16,1252.0,877.0,1125.0,250.0,226.56
1615966169.236,0,100,58,205,32305,69,73,221.52,16,,,,,
1629872330.124,1,100,58,24250,8260,38,41,110.17,16,,,,,
1631816770.089,0,100,1,969,31541,50,47,51.14,16,1380.0,877.0,1237.0,250.0,51.14
1628483631.59,0,12,3,12827,19683,36,35,49.91,16,,,,,
1615947383.553,0,91,53,205,32305,68,72,209.85,16,,,,,
1631816883.097,1,98,17,957,31553,50,48,221.68,16,1252.0,877.0,1125.0,250.0,221.68
1615978112.173,0,100,57,205,32305,68,71,197.5,16,,,,,
1615967964.791,0,100,59,205,32305,69,72,199.88,16,,,,,
1631816902.945,0,100,31,967,31543,57,53,193.57,16,1342.0,877.0,1215.0,250.0,193.57
1615966403.584,0,99,55,205,32305,68,72,220.96,16,,,,,
1628495548.691,0,11,3,12827,19683,34,33,51.85,16,,,,,
1615966276.564,0,100,56,205,32305,69,72,221.75,16,,,,,
1628498169.734,0,0,0,12827,19683,38,37,52.78,16,,,,,
1631816989.146,1,98,34,957,31553,51,50,226.57,16,1290.0,877.0,1155.0,250.0,226.57
1629878503.595,1,0,0,23452,9058,35,36,42.55,16,,,,,
1622115475.45,1,0,0,32510,0,39,36,27.19,16,,,,,
1629869565.861,1,23,1,23432,9078,31,32,37.31,16,,,,,
1622117147.096,1,0,0,32510,0,39,36,27.27,16,,,,,
1622116076.361,0,0,0,32510,0,38,37,26.98,16,,,,,
1622110948.996,1,0,0,32510,0,37,35,26.84,16,,,,,
1628484829.962,0,93,46,12827,19683,40,42,165.5,16,,,,,
1622115949.887,1,0,0,32510,0,38,36,27.01,16,,,,,
1628509666.773,0,4,1,12827,19683,34,32,44.67,16,,,,,
1628501917.42,0,39,1,12827,19683,36,35,43.78,16,,,,,
1629876316.397,1,29,1,23472,9038,32,32,36.92,16,,,,,
1628485121.518,0,93,53,12827,19683,38,40,178.78,16,,,,,
1622106870.425,0,0,0,32506,4,37,36,26.95,16,,,,,
1622111329.291,0,0,0,32510,0,37,36,27.1,16,,,,,
1622108001.447,0,0,0,32510,0,36,35,26.9,16,,,,,
1629874925.724,0,0,0,32506,4,30,29,25.47,16,,,,,
1622119367.332,0,0,0,32510,0,39,38,27.35,16,,,,,
1628484860.496,0,4,1,12827,19683,34,33,44.36,16,,,,,
1631817022.694,0,100,1,967,31543,57,53,226.58,16,1215.0,877.0,1095.0,250.0,226.58
1629876163.637,0,0,0,32506,4,31,30,25.86,16,,,,,
1622120274.103,0,0,0,32510,0,39,38,27.16,16,,,,,
1628497032.844,0,7,0,12827,19683,38,38,44.59,16,,,,,
1629878435.781,0,0,0,32506,4,30,29,25.7,16,,,,,
1631816933.684,1,85,3,957,31553,47,46,52.12,16,1380.0,877.0,1237.0,250.0,52.12
1631816827.723,1,85,33,957,31553,46,45,51.56,16,1380.0,877.0,1237.0,250.0,51.56
1615952686.038,0,100,56,205,32305,69,72,171.04,16,,,,,
1622114859.623,0,0,0,32510,0,38,37,27.09,16,,,,,
1631816947.277,1,80,11,957,31553,47,47,51.66,16,1380.0,877.0,1237.0,250.0,51.66
1615959682.724,0,100,58,205,32305,69,72,192.59,16,,,,,
1631817067.852,1,100,1,957,31553,47,46,51.86,16,1380.0,877.0,1237.0,250.0,51.86
1629860203.162,0,0,0,32506,4,30,29,25.68,16,,,,,
1629875941.309,1,93,53,24254,8256,37,41,43.96,16,,,,,
1628506764.112,0,13,3,12827,19683,35,34,51.31,16,,,,,
1629881840.942,1,27,1,23462,9048,31,32,36.94,16,,,,,
1629874105.323,0,0,0,32506,4,30,29,25.8,16,,,,,
