timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1620648589.837,0,0,0,21009,11501,36,34,38.42,16,,,,
1632529603.25,0,0,0,32053,457,42,40,47.92,16,1380.0,877.0,1237.0,250.0
1622391314.471,1,67,28,28965,3545,50,49,80.0,16,,,,
1632529641.845,1,93,56,1801,30709,53,55,179.72,16,1380.0,877.0,1237.0,250.0
1632529840.143,1,13,6,1801,30709,50,49,48.5,16,1380.0,877.0,1237.0,250.0
1621283521.209,0,3,1,32035,475,63,65,123.76,16,,,,
1621415970.025,0,95,24,32035,475,69,69,169.99,16,,,,
1620647089.779,0,0,0,32510,0,31,29,26.17,16,,,,
1629737427.814,0,0,0,32506,4,28,27,25.17,16,,,,
1629737300.73,0,0,0,32506,4,28,27,25.01,16,,,,
1629737370.959,0,0,0,32506,4,28,27,25.18,16,,,,
1621455978.96,0,88,22,32035,475,69,70,208.27,16,,,,
1622389968.54,1,46,15,28965,3545,50,49,125.07,16,,,,
1621430898.692,0,94,24,32035,475,70,70,189.76,16,,,,
1620649044.576,0,0,0,21009,11501,36,33,38.61,16,,,,
1629737615.647,0,0,0,32506,4,28,27,25.1,16,,,,
1622390573.549,1,62,25,28965,3545,50,48,94.18,16,,,,
1622387232.165,1,75,33,29381,3129,46,45,74.95,16,,,,
1629737153.967,0,0,0,32510,0,28,28,25.11,16,,,,
1621289046.152,0,94,24,32035,475,69,70,207.82,16,,,,
1632529581.281,1,84,51,1801,30709,52,55,179.04,16,1380.0,877.0,1237.0,250.0
1620646150.93,0,0,0,32510,0,30,28,26.17,16,,,,
1621422717.306,0,90,23,32035,475,68,69,158.59,16,,,,
1632529610.019,0,0,0,32053,457,42,40,47.7,16,1380.0,877.0,1237.0,250.0
1622388044.729,1,45,16,28965,3545,50,48,75.07,16,,,,
1629737150.931,0,0,0,32510,0,28,28,25.21,16,,,,
1632529511.412,0,0,0,32053,457,42,40,47.84,16,1380.0,877.0,1237.0,250.0
1620644979.144,0,0,0,32510,0,31,29,26.46,16,,,,
1629737517.338,0,0,0,32506,4,28,27,25.11,16,,,,
1622396381.418,1,63,25,28965,3545,49,48,112.1,16,,,,
1629737398.059,0,0,0,32506,4,28,27,25.04,16,,,,
1632528509.343,1,0,0,1801,30709,48,47,48.04,16,1380.0,877.0,1237.0,250.0
1620645337.983,0,0,0,32510,0,31,29,26.23,16,,,,
1621297226.127,0,96,25,32035,475,70,70,156.85,16,,,,
1620644361.11,0,0,0,32510,0,32,30,26.56,16,,,,
1629737518.074,0,0,0,32506,4,28,27,25.03,16,,,,
1622389011.957,1,51,18,28965,3545,52,50,108.49,16,,,,
1622388075.588,1,64,27,28965,3545,50,48,76.86,16,,,,
1621458868.034,0,58,14,32035,475,68,68,197.85,16,,,,
1629737547.793,0,0,0,32506,4,28,27,25.1,16,,,,
1632529238.863,1,20,12,1801,30709,52,52,174.51,16,1380.0,877.0,1237.0,250.0
1621442780.48,0,91,23,32035,475,69,69,196.74,16,,,,
1629737310.272,0,0,0,32506,4,28,27,24.98,16,,,,
1620649783.592,0,99,49,11675,20835,69,69,225.67,16,,,,
1621343879.213,0,94,24,32035,475,69,70,206.4,16,,,,
1629737129.086,0,0,0,32510,0,29,28,25.1,16,,,,
1620648983.917,0,0,0,21009,11501,35,33,38.41,16,,,,
1621177908.302,0,95,24,32035,475,69,71,188.61,16,,,,
1622391718.634,1,45,14,28965,3545,50,48,106.22,16,,,,
1629737635.083,0,0,0,32510,0,28,27,25.13,16,,,,
1621311409.093,0,95,24,32035,475,70,70,207.86,16,,,,
1629737508.416,0,0,0,32506,4,28,27,25.15,16,,,,
1629737302.308,0,0,0,32506,4,28,27,25.08,16,,,,
1621245628.067,0,95,24,32035,475,68,70,190.85,16,,,,
1629737402.668,0,0,0,32506,4,28,27,25.14,16,,,,
1622392356.894,1,46,17,28965,3545,50,49,72.09,16,,,,
1629737277.985,0,0,0,32506,4,28,27,25.07,16,,,,
1622392516.476,1,42,14,28965,3545,49,48,98.14,16,,,,
1621436493.599,0,95,24,32035,475,68,68,176.58,16,,,,
1620646893.035,0,0,0,32510,0,31,29,26.44,16,,,,
1632529088.007,0,0,0,32053,457,41,39,47.61,16,1380.0,877.0,1237.0,250.0
1620647783.997,0,0,0,32510,0,31,29,26.37,16,,,,
1632528678.856,0,0,0,32053,457,40,38,47.26,16,1380.0,877.0,1237.0,250.0
1632529640.665,0,0,0,32053,457,42,40,47.74,16,1380.0,877.0,1237.0,250.0
1632529628.545,0,0,0,32053,457,42,40,47.81,16,1380.0,877.0,1237.0,250.0
1622388107.48,1,60,23,28965,3545,50,49,96.46,16,,,,
1632528488.69,0,0,0,32053,457,41,38,47.37,16,1380.0,877.0,1237.0,250.0
1622397127.78,1,59,23,28965,3545,49,48,84.34,16,,,,
1622390780.252,1,56,19,28965,3545,50,48,84.44,16,,,,
1620649111.965,0,0,0,21009,11501,36,34,43.48,16,,,,
1622388178.077,1,46,15,28965,3545,51,49,113.72,16,,,,
1632528686.459,1,89,53,1801,30709,50,52,168.37,16,1380.0,877.0,1237.0,250.0
1632528528.723,0,0,0,32053,457,41,38,47.45,16,1380.0,877.0,1237.0,250.0
1632529913.05,1,89,53,1801,30709,52,54,162.81,16,1380.0,877.0,1237.0,250.0
1620649787.205,0,98,62,11675,20835,68,69,165.02,16,,,,
1632529520.118,0,0,0,32053,457,42,40,47.88,16,1380.0,877.0,1237.0,250.0
1622390217.415,1,50,18,28965,3545,49,48,86.48,16,,,,
1621291217.486,0,95,24,32035,475,69,69,200.39,16,,,,
1620647914.096,0,0,0,32510,0,31,29,26.27,16,,,,
1632530027.742,0,0,0,32053,457,41,39,47.35,16,1380.0,877.0,1237.0,250.0
1622394643.165,1,49,15,28965,3545,51,49,106.82,16,,,,
1620649768.0,0,97,45,11675,20835,68,70,229.02,16,,,,
1621386910.912,0,18,5,32035,475,66,67,55.06,16,,,,
1621231361.342,0,89,22,32035,475,68,69,203.29,16,,,,
1629737110.452,0,0,0,32510,0,29,28,24.87,16,,,,
1632528809.434,0,0,0,32053,457,40,38,47.25,16,1380.0,877.0,1237.0,250.0
1621316390.604,0,88,22,32035,475,69,69,205.35,16,,,,
1629737379.887,0,0,0,32506,4,28,27,25.18,16,,,,
1621321310.426,0,95,24,32035,475,69,69,192.0,16,,,,
1620648534.455,0,0,0,21009,11501,36,34,38.55,16,,,,
1620646012.618,0,0,0,32510,0,30,28,26.16,16,,,,
1622395605.618,1,54,22,28965,3545,50,49,75.61,16,,,,
1620648010.571,0,0,0,32510,0,31,29,26.42,16,,,,
1620645229.227,0,0,0,32510,0,31,29,26.35,16,,,,
1621375957.496,0,79,20,32035,475,68,68,204.65,16,,,,
1622393362.669,1,57,21,28965,3545,50,49,118.28,16,,,,
1622388260.537,1,56,21,28965,3545,51,50,82.19,16,,,,
1629737604.447,0,0,0,32506,4,28,27,25.07,16,,,,
1620647460.378,0,0,0,32510,0,31,29,26.3,16,,,,
