Node,Time,UserPIDCount,FSlatency,LoadAvg,MemoryFreeInactiveKB,LustreRPCTotals
r7217787-n598065,1628637301.0,,0.0,0.0,191.0,221.0
r8062914-n136082,1631374201.0,16616266494411:11|414:2|,0.0,2.23,380.0,233.0
r3741709-n685852,1616156401.0,85020758600971:7|19179140382228:5|50123166784943:6|1502793507562:4|,0.0,90.99,322.0,3015.0
r2100214-n386398,1624578901.0,63872107965991:11|,0.0,2.04,389.0,228.0
r1018283-n598065,1619283901.0,,0.0,0.0,191.0,221.0
r8792496-n680758,1617284772.0,74955911310996:7|7:2|,0.0,36.64,49.0,1943.0
r6760045-n680758,1631613301.0,17920295360507:40|,0.0,18.0,174.0,229.0
r9720335-n851693,1619433601.0,37416557891891:5|2932858130821:11|,0.0,12.06,352.0,237.0
r7343737-n976057,1617825901.0,74955911310996:10|1792907464779:7|7:3|89050107702520:13|,0.0,2.86,360.0,11960.0
r3226521-n920226,1627866002.0,55460302891388:4|,0.0,0.0,190.0,229.0
r406820-n680758,1621678201.0,,0.0,0.0,191.0,222.0
r5189505-n146651,1626374701.0,,0.0,0.0,192.0,221.0
r8918301-n680758,1617993002.0,7:2|,0.0,0.0,187.0,14150131.0
r4858666-n680758,1624725001.0,17920295360507:100|,0.0,41.01,140.0,229.0
r406820-n181711,1628929201.0,,0.0,0.0,191.0,221.0
r7343737-n146651,1631224201.0,414:2|,0.0,0.0,190.0,229.0
r3045754-n48252,1632221401.0,,0.0,0.0,128.0,221.0
r4874959-n920226,1621078503.0,,0.0,0.0,191.0,221.0
r4858666-n386398,1625206206.0,5806281702373:8|,0.0,1.06,328.0,229.0
r9273661-n181711,1619926201.0,,0.0,0.0,191.0,221.0
r9102715-n598065,1623855601.0,,0.0,0.0,190.0,221.0
r4229531-n680758,1621314301.0,8146135945721:7|53679664603822:21|,0.0,2.3,137.0,241.0
r7217787-n43543,1625452502.0,2932858130821:11|87509498710061:5|,0.0,15.08,323.0,2968.0
r3041626-n392209,1628464501.0,,0.0,0.0,190.0,221.0
r4179716-n920226,1628941501.0,,0.0,0.0,191.0,221.0
