id_job,id_array_job,id_array_task,id_user,kill_requid,nodes_alloc,nodelist,cpus_req,derived_ec,exit_code,gres_used,array_max_tasks,array_task_pending,constraints,flags,mem_req,partition,priority,state,timelimit,time_submit,time_eligible,time_start,time_end,time_suspended,track_steps,tres_alloc,tres_req,job_type
91263904185281,16618712154521,4294967294,87256509282194,61026541062099,1,['r6760045-n911952'],16,0,0,,0,0,xeon-g6,8,9223372036854784308,normal,10021,3,525600,1623738239,1623738239,1623793014,1623806305,0,0,"1=16,2=136000,4=1,5=16,1002=1","1=16,2=136000,4=1,5=16,1002=1",OTHER
91043852373790,16618712154521,4294967294,37299602981324,37299602981324,1,['r7952476-n680758'],4,0,0,,0,0,\N,4,9223372036854776208,xeon-p8,10141,4,9600,1632012165,1632012165,1632012167,1632014431,0,0,"1=4,2=1600,3=18446744073709551614,4=1,5=4","1=4,2=1600,4=1,5=4",OTHER
73407880110415,16618712154521,4294967294,87110995014675,87110995014675,1,['r2008197-n680758'],10,0,0,,0,0,\N,4,9216,xeon-p8,10437,4,4294967295,1623175967,1623175967,1623175967,1623179160,0,0,"1=10,2=9216,3=18446744073709551614,4=1,5=10","1=10,2=9216,4=1,5=10",LLSUB:BATCH
37247100438029,43796078332501,261,19060897364461,61026541062099,1,['r2652301-n386398'],1,0,0,,0,0,xeon-g6,8,9223372036854784308,normal,10357,3,4294967295,1614364803,1614364810,1614367298,1614368902,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",OTHER
9815471534907,16618712154521,4294967294,5577359963038,61026541062099,1,['r4179716-n680758'],8,0,0,,0,0,\N,8,9223372036854777708,xeon-p8,10014,3,4300,1631958613,1631958613,1631958737,1631959990,0,0,"1=8,2=15200,4=1,5=8","1=8,2=15200,4=1,5=8",OTHER
47355519779943,16618712154521,4294967294,21835245060297,21835245060297,1,['r7217787-n830961'],4,0,0,,0,0,xeon-g6,4,40960,normal,10293,4,5760,1612370620,1612370620,1612370626,1612387330,0,0,"1=4,2=40960,3=18446744073709551614,4=1,5=4","1=4,2=40960,4=1,5=4",OTHER
33686461402470,105186008840,84,30273376745109,61026541062099,1,['r8642123-n976057'],1,0,0,,0,0,xeon-g6,4,15360,normal,10365,6,240,1612459422,1612459428,1612459428,1612473845,0,0,"1=1,2=15360,4=1,5=1","1=1,2=15360,4=1,5=1",OTHER
10486102139410,16618712154521,4294967294,25529447230011,25529447230011,1,['r1485405-n976057'],20,0,0,,0,0,xeon-g6,8,9223372036854784308,normal,10063,4,525600,1616419078,1616419078,1616419081,1616419562,0,0,"1=20,2=170000,3=18446744073709551614,4=1,5=20,1002=1","1=20,2=170000,4=1,5=20,1002=1",OTHER
91884103395190,16618712154521,4294967294,4261627471623,61026541062099,1,['r7343737-n386398'],8,0,0,,0,0,xeon-g6,4,9223372036854780808,normal,110559,3,4000,1623254228,1623254228,1623254229,1623254664,0,0,"1=8,2=40000,4=1,5=8,1002=1","1=8,2=40000,4=1,5=8,1002=1",OTHER
14471765693765,16618712154521,4294967294,77568229994913,61026541062099,1,['r2652301-n386398'],1,0,33280,,0,0,xeon-g6,2,9223372036854784308,normal,110783,5,1440,1624888061,1624888061,1624888061,1624918846,0,0,"1=1,2=8500,4=1,5=1,1002=2","1=1,2=8500,4=1,5=1,1002=2",LLSUB:INTERACTIVE
