id_job,total_energy_J,idle_energy_J,idle_energy_saving_J,idle_duration_steps,total_steps,idle_pct_energy,idle_duration_min,total_duration_min,potential_saving_J,potential_saving_pct
70053314562,8020975.205969527,1328.0184278350516,664.0092139175258,3,3898,0.01655682000920147,0.5,649.6666666666666,664.0092139175258,0.008278410004600735
531177744168,7550285.899726674,2940.841054894394,1470.420527447197,6,3910,0.038950062208913894,1.0,651.6666666666666,1470.420527447197,0.019475031104456947
611401690860,15877128.119934037,1329.3762505259838,664.6881252629919,3,7026,0.00837290119777346,0.5,1171.0,664.6881252629919,0.00418645059888673
772032503727,7713671.463813546,3157.6433350422967,1578.8216675211484,6,3572,0.04093567310787691,1.0,595.3333333333334,1578.8216675211484,0.020467836553938454
1173416277102,3950320.3489183597,19613.598927892086,9806.799463946043,49,1840,0.49650654112805054,8.166666666666666,306.6666666666667,9806.799463946043,0.24825327056402527
2063739185347,4101109.931122411,1543.533819172888,771.766909586444,3,2017,0.03763697743041104,0.5,336.1666666666667,771.766909586444,0.01881848871520552
2222822427142,7110878.952080012,98614.64407298632,49307.32203649316,226,3498,1.3868137080879492,37.666666666666664,583.0,49307.32203649316,0.6934068540439746
2599719448057,3858760.46782178,5622.29776816573,2811.148884082865,12,1804,0.14570217081495718,2.0,300.6666666666667,2811.148884082865,0.07285108540747859
2759986725115,7491374.832268677,2157.124914089347,1078.5624570446735,4,3478,0.02879478016234954,0.6666666666666666,579.6666666666666,1078.5624570446735,0.01439739008117477
3124731017640,3762516.8154567583,1931.0334979954182,965.5167489977091,4,1768,0.05132292007473717,0.6666666666666666,294.6666666666667,965.5167489977091,0.025661460037368584
3412131683628,15515593.55958763,8543.52651202749,4271.763256013745,22,7809,0.05506412938194134,3.6666666666666665,1301.5,4271.763256013745,0.02753206469097067
3419101415399,7893378.547873014,19511.93132073694,9755.96566036847,50,3646,0.24719365988084682,8.333333333333334,607.6666666666666,9755.96566036847,0.12359682994042341
4245408558597,5925712.595933195,329144.699970037,164572.3499850185,960,5144,5.5545167714669175,160.0,857.3333333333334,164572.3499850185,2.7772583857334587
4479761871984,4008442.41964781,5496.798412454893,2748.3992062274465,10,2000,0.13713053193708724,1.6666666666666667,333.3333333333333,2748.3992062274465,0.06856526596854362
5275403476309,4112168.662398738,6755.753714226429,3377.8768571132146,12,2044,0.1642868828800815,2.0,340.6666666666667,3377.8768571132146,0.08214344144004075
5650105580220,4019696.9260049746,2254.432857833656,1127.216428916828,6,1994,0.056084647657112095,1.0,332.3333333333333,1127.216428916828,0.028042323828556048
5753211269774,7672866.559793017,8098.925865934569,4049.4629329672844,16,3636,0.10555280484576869,2.6666666666666665,606.0,4049.4629329672844,0.052776402422884346
5892990661811,7228587.525825139,93103.65200926561,46551.82600463281,219,3518,1.2879923176781054,36.5,586.3333333333334,46551.82600463281,0.6439961588390527
6109602899976,15604676.44449149,4704.405805365096,2352.202902682548,11,7178,0.030147410118367236,1.8333333333333333,1196.3333333333333,2352.202902682548,0.015073705059183618
6767042244938,7978947.213423419,1402.3336016834626,701.1668008417313,3,3544,0.017575421470695286,0.5,590.6666666666666,701.1668008417313,0.008787710735347643
6816757623173,8292662.851622626,3711.2457904369708,1855.6228952184854,8,4010,0.044753366401611164,1.3333333333333333,668.3333333333334,1855.6228952184854,0.022376683200805582
7614866123849,7746094.827348507,8000.526508724352,4000.263254362176,16,3636,0.10328464454730847,2.6666666666666665,606.0,4000.263254362176,0.051642322273654236
8332818674743,15876605.352985939,14625.319601452084,7312.659800726042,29,7811,0.09211868202481632,4.833333333333333,1301.8333333333333,7312.659800726042,0.04605934101240816
8986675716108,3789535.3999239528,6702.507337097814,3351.253668548907,16,1820,0.17686884089359128,2.6666666666666665,303.3333333333333,3351.253668548907,0.08843442044679564
9042613205291,6242148.374071399,134555.60259700211,67277.80129850106,298,7058,2.15559763295468,49.666666666666664,1176.3333333333333,67277.80129850106,1.07779881647734
9347110911747,8246839.934833047,4338.782276629499,2169.3911383147497,12,4096,0.05261145251896217,2.0,682.6666666666666,2169.3911383147497,0.026305726259481084
9363816195518,8204956.710384991,4688.153019903912,2344.076509951956,11,4100,0.05713805916818707,1.8333333333333333,683.3333333333334,2344.076509951956,0.028569029584093537
9454414355533,7726795.541882758,2325.0890244146085,1162.5445122073043,4,3540,0.030091245611606584,0.6666666666666666,590.0,1162.5445122073043,0.015045622805803292
9588192115571,15236693.728250282,8273.485298200398,4136.742649100199,23,7819,0.05429974143839728,3.8333333333333335,1303.1666666666667,4136.742649100199,0.02714987071919864
9729018528767,8237560.205269021,5010.595290149633,2505.2976450748165,12,4100,0.06082620539689272,2.0,683.3333333333334,2505.2976450748165,0.03041310269844636
9772653250751,15860316.49685311,4901.423751227295,2450.7118756136474,9,7809,0.030903694464103536,1.5,1301.5,2450.7118756136474,0.015451847232051768
9976590120891,11693001.655068409,57408.35704776107,28704.178523880535,228,29060,0.49096338768477843,38.0,4843.333333333333,28704.178523880535,0.24548169384238921
10217518336509,17663151.65328608,8673.768864460622,4336.884432230311,16,10156,0.0491065752857698,2.6666666666666665,1692.6666666666667,4336.884432230311,0.0245532876428849
10297115157410,15248022.49844657,3526.3849902718816,1763.1924951359408,7,7058,0.02312683491010812,1.1666666666666667,1176.3333333333333,1763.1924951359408,0.01156341745505406
10612452483078,7609171.909780589,8226.636582412293,4113.318291206147,15,3594,0.10811474205015706,2.5,599.0,4113.318291206147,0.05405737102507853
11672169811194,7998431.473905269,1750.39456022633,875.197280113165,4,3900,0.02188422274963484,0.6666666666666666,650.0,875.197280113165,0.01094211137481742
11701784246856,8116619.453603662,9203.120075537456,4601.560037768728,16,4136,0.11338612248787151,2.6666666666666665,689.3333333333334,4601.560037768728,0.056693061243935756
11887426389368,8271500.705142195,15552.506793076484,7776.253396538242,38,4020,0.1880252126848984,6.333333333333333,670.0,7776.253396538242,0.0940126063424492
12130330208549,7376780.304450562,1013.6463917525773,506.82319587628865,3,3508,0.013741040805309381,0.5,584.6666666666666,506.82319587628865,0.006870520402654691
12131459904259,15941456.071288902,2353.1060609493597,1176.5530304746799,4,7037,0.014760923032541444,0.6666666666666666,1172.8333333333333,1176.5530304746799,0.007380461516270722
12442586039040,8059218.821742843,3990.9305564648116,1995.4652782324058,7,3982,0.04952006695360773,1.1666666666666667,663.6666666666666,1995.4652782324058,0.024760033476803864
12963784416485,15479768.131166877,10726.169247407954,5363.084623703977,20,7256,0.06929153690494849,3.3333333333333335,1209.3333333333333,5363.084623703977,0.034645768452474246
14186682143931,15820477.39785394,14373.495234875723,7186.747617437862,38,8012,0.0908537389448532,6.333333333333333,1335.3333333333333,7186.747617437862,0.0454268694724266
14282729278251,5603421.335141223,166124.10500134606,83062.05250067303,491,4588,2.964690589292608,81.83333333333333,764.6666666666666,83062.05250067303,1.482345294646304
14647082943833,4042795.7914001374,3525.2478723404256,1762.6239361702128,8,2018,0.08719826709623467,1.3333333333333333,336.3333333333333,1762.6239361702128,0.043599133548117334
15686136331649,16472153.268522488,6650.602733928163,3325.3013669640814,16,8200,0.040374823045370475,2.6666666666666665,1366.6666666666667,3325.3013669640814,0.020187411522685238
15720858631354,15436859.786859216,1855.176083530339,927.5880417651695,4,7136,0.012017833349173623,0.6666666666666666,1189.3333333333333,927.5880417651695,0.006008916674586811
15877995115685,4074162.801194017,7709.750990020808,3854.875495010404,16,2068,0.18923522122781417,2.6666666666666665,344.6666666666667,3854.875495010404,0.09461761061390708
16008623061291,12444057.236301849,325490.01785051,162745.008925255,1210,30552,2.615626171350204,201.66666666666666,5092.0,162745.008925255,1.307813085675102
16243287844930,4054320.7492631916,4197.020569070558,2098.510284535279,9,2056,0.10351969734593149,1.5,342.6666666666667,2098.510284535279,0.05175984867296574
16288232228809,5599245.474002174,73477.22830113542,36738.61415056771,230,4686,1.3122701735849434,38.333333333333336,781.0,36738.61415056771,0.6561350867924717
16775211574771,4119019.6532676853,1791.1265494912118,895.5632747456059,4,1996,0.043484292386667345,0.6666666666666666,332.6666666666667,895.5632747456059,0.021742146193333672
17015674399102,3980447.297714174,7882.293897969796,3941.146948984898,16,1770,0.19802533003002729,2.6666666666666665,295.0,3941.146948984898,0.09901266501501364
17825795509658,7672831.374626716,7161.984475720903,3580.9922378604515,16,3636,0.09334213311926635,2.6666666666666665,606.0,3580.9922378604515,0.04667106655963318
17999004987470,16410385.292146064,4571.09493281075,2285.547466405375,8,8144,0.027854890981739808,1.3333333333333333,1357.3333333333333,2285.547466405375,0.013927445490869904
18308236073276,3817937.307774432,14717.98839458414,7358.99419729207,31,1818,0.3854958111704462,5.166666666666667,303.0,7358.99419729207,0.1927479055852231
18512102028367,16450772.843561303,3275.5336125429553,1637.7668062714777,6,7792,0.01991112298304558,1.0,1298.6666666666667,1637.7668062714777,0.00995556149152279
19701860921697,16098143.67700519,5873.354043697094,2936.677021848547,12,7956,0.03648466656491999,2.0,1326.0,2936.677021848547,0.018242333282459996
19841126289467,16038564.89207265,8410.29190389722,4205.14595194861,16,7771,0.05243793294781729,2.6666666666666665,1295.1666666666667,4205.14595194861,0.026218966473908645
20592797437811,15149221.649004506,3458.5027171964475,1729.2513585982238,6,7130,0.02282957367267588,1.0,1188.3333333333333,1729.2513585982238,0.01141478683633794
20837315505850,7525220.685500225,263123.5908906017,131561.79544530084,584,4040,3.4965564717270614,97.33333333333333,673.3333333333334,131561.79544530084,1.7482782358635307
21243308854360,4014647.2678320664,12171.664954849475,6085.832477424738,23,2068,0.3031814289732669,3.8333333333333335,344.6666666666667,6085.832477424738,0.15159071448663344
21385554594693,6251487.428073749,111839.58501382153,55919.792506910766,347,6738,1.7890075970013157,57.833333333333336,1123.0,55919.792506910766,0.8945037985006579
21624292191664,4215267.238306385,10830.0412441089,5415.02062205445,20,2076,0.2569241908482226,3.3333333333333335,346.0,5415.02062205445,0.1284620954241113
22072544389661,5866753.626858392,84515.20426813087,42257.60213406543,277,5912,1.4405787193996793,46.166666666666664,985.3333333333334,42257.60213406543,0.7202893596998396
22388051329946,15438343.717944589,1450.3296928694158,725.1648464347079,3,7079,0.009394334776881804,0.5,1179.8333333333333,725.1648464347079,0.004697167388440902
22747705886913,3773145.113696306,716.9729639175257,358.48648195876285,2,1767,0.01900199812922524,0.3333333333333333,294.5,358.48648195876285,0.00950099906461262
23005343516226,15191068.237030495,4070.69207275223,2035.346036376115,8,7130,0.026796615019010386,1.3333333333333333,1188.3333333333333,2035.346036376115,0.013398307509505193
23057558973783,7893000.065557998,3512.21277485447,1756.106387427235,8,3588,0.0444978176318585,1.3333333333333333,598.0,1756.106387427235,0.02224890881592925
23180230772560,4052021.2476052972,5649.969376445766,2824.984688222883,12,2060,0.13943582797806994,2.0,343.3333333333333,2824.984688222883,0.06971791398903497
23303481248643,3894959.7886448563,7980.63460687867,3990.317303439335,14,1822,0.20489645695816824,2.3333333333333335,303.6666666666667,3990.317303439335,0.10244822847908412
23392498985676,4031172.5904019037,2814.0843392178704,1407.0421696089352,6,1996,0.06980808377984404,1.0,332.6666666666667,1407.0421696089352,0.03490404188992202
23712233935086,5540648.737509683,106986.20401198283,53493.102005991415,308,4280,1.9309328037292108,51.333333333333336,713.3333333333334,53493.102005991415,0.9654664018646054
24636145338445,3838375.023162193,1725.8722128803117,862.9361064401559,3,1768,0.044963616177829215,0.5,294.6666666666667,862.9361064401559,0.022481808088914607
25927287186207,4132500.32816392,17683.622874688437,8841.811437344219,32,2022,0.4279158250556102,5.333333333333333,337.0,8841.811437344219,0.2139579125278051
25941554536676,14536657.52186611,965.2721200406122,482.6360600203061,3,7014,0.0066402618248978165,0.5,1169.0,482.6360600203061,0.0033201309124489082
25948698565436,4127981.997394651,6009.6153073830765,3004.8076536915382,12,2060,0.14558240106609005,2.0,343.3333333333333,3004.8076536915382,0.07279120053304503
25982291411224,7646119.69405007,86991.27161050648,43495.63580525324,203,3804,1.1377178894832094,33.833333333333336,634.0,43495.63580525324,0.5688589447416047
26653683538259,16062446.429503083,3682.19589198036,1841.09794599018,6,7872,0.022924253214734455,1.0,1312.0,1841.09794599018,0.011462126607367227
27226011639966,8008132.346854723,16458.820282483834,8229.410141241917,32,4008,0.20552632710856988,5.333333333333333,668.0,8229.410141241917,0.10276316355428494
27924727138990,15842605.463110952,2132.1558529703348,1066.0779264851674,6,7944,0.013458366162907975,1.0,1324.0,1066.0779264851674,0.006729183081453987
28319407288705,6536165.233632599,103848.8674834134,51924.4337417067,228,3652,1.5888347948893176,38.0,608.6666666666666,51924.4337417067,0.7944173974446588
28616623128316,15611844.727240352,29462.963982415735,14731.481991207867,53,7120,0.188721861491533,8.833333333333334,1186.6666666666667,14731.481991207867,0.0943609307457665
29358576358138,15238673.938743003,14605.455620817507,7302.727810408754,27,7098,0.09584466259681826,4.5,1183.0,7302.727810408754,0.04792233129840913
29770494582122,3935140.402225543,3064.4756005490735,1532.2378002745368,6,1800,0.07787461913216466,1.0,300.0,1532.2378002745368,0.03893730956608233
29829566191360,3913332.767530323,2176.998253217757,1088.4991266088784,6,1796,0.055630287086258834,1.0,299.3333333333333,1088.4991266088784,0.027815143543129417
